JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2458820.7743578,481.8042,0.3290,9.6929,0.0007,15.8598,1.49,g,G,br
2458825.7486263,348.0867,0.1757,10.0458,0.0005,16.5409,2.42,g,G,bB
2458830.7870843,443.5687,0.5747,9.7827,0.0014,15.2541,2.01,g,B,br
2458831.5867042,519.5876,0.4436,9.6109,0.0009,15.5353,1.41,g,G,br
2458832.5872749,505.5409,0.3940,9.6407,0.0008,15.6639,1.64,g,G,br
2458833.5948767,449.0223,0.2291,9.7694,0.0006,16.2528,1.54,g,G,br
2458834.595053,510.5657,0.4254,9.6299,0.0009,15.5807,1.41,g,G,br
2458837.7430901,385.5713,0.1789,9.9348,0.0005,16.5210,2.11,g,G,bB
2458838.7434483,450.7996,0.2479,9.7651,0.0006,16.1671,1.46,g,G,br
2458839.6180228,511.8518,0.4060,9.6272,0.0009,15.6314,1.49,g,G,br
2458846.6716643,469.2021,0.3019,9.7217,0.0007,15.9530,1.49,g,G,br
2458847.664641,493.0345,0.3643,9.6679,0.0008,15.7490,1.48,g,G,br
2458854.7454691,366.5283,0.1442,9.9898,0.0004,16.7556,2.17,g,G,bB
2458863.6886554,-330.8057,1.6905,14.0826,99.9990,14.0826,1.41,g,B,br
2458863.6911023,-167.9907,1.4005,14.2870,99.9990,14.2870,1.44,g,B,br
2458866.6930806,420.2121,0.2892,9.8414,0.0007,15.9998,1.62,g,G,br
2458867.6874773,410.4250,0.2296,9.8670,0.0006,16.2503,1.54,g,G,br
2458871.6599779,-24.7063,1.0571,14.5923,99.9990,14.5923,1.54,g,B,br
2458872.6646493,437.9954,0.2067,9.7964,0.0005,16.3642,1.44,g,G,br
2458873.6614728,290.3075,0.5811,10.2429,0.0022,15.2420,1.42,g,B,br
2458874.657984,370.5760,0.3751,9.9779,0.0011,15.7173,1.46,g,B,br
2458877.6335165,443.2301,0.2147,9.7835,0.0005,16.3233,1.45,g,G,br
2458879.5675654,455.0717,0.2830,9.7549,0.0007,16.0233,1.52,g,B,br
2458880.5569355,473.7794,0.4669,9.7111,0.0011,15.4795,1.46,g,B,br
2458892.612369,390.1326,0.3204,9.9220,0.0009,15.8883,1.55,g,G,br
2458893.5936968,406.7372,0.2682,9.8768,0.0007,16.0816,1.97,g,G,br
2458904.584468,391.6842,0.3188,9.9177,0.0009,15.8939,1.61,g,G,br
2458905.5901802,312.3527,0.4903,10.1635,0.0017,15.4265,2.09,g,G,br
2458906.577805,403.1019,0.3231,9.8865,0.0009,15.8793,1.78,g,B,br
2458907.5842906,-106.5710,1.2102,14.4455,99.9990,14.4455,2.27,g,B,br
2458998.111725,308.5076,0.2784,10.1769,0.0010,16.0410,2.25,g,G,bB
2459000.108667,325.9403,0.2573,10.1172,0.0009,16.1267,2.05,g,G,bB
2459001.1049569,313.0999,0.2736,10.1609,0.0009,16.0600,2.28,g,G,bB
2459002.1015005,334.9294,0.2271,10.0877,0.0007,16.2619,2.03,g,G,bB
2459004.0939934,342.6916,0.1641,10.0628,0.0005,16.6148,2.02,g,G,bB
2459005.0942939,319.2173,0.2878,10.1398,0.0010,16.0049,2.16,g,G,bB
2459013.0928304,327.4739,0.2568,10.1121,0.0009,16.1286,2.28,g,G,bB
2459014.9222605,404.4542,0.2844,9.8829,0.0008,16.0178,1.48,g,G,br
2459015.918738,370.3930,0.3571,9.9784,0.0010,15.7707,1.59,g,G,br
2459025.0542314,296.4632,0.2851,10.2201,0.0010,16.0153,2.15,g,G,bB
2459028.047014,334.2935,0.1921,10.0897,0.0006,16.4440,2.10,g,G,bB
2459029.0429809,331.9781,0.1980,10.0973,0.0006,16.4112,2.01,g,G,bB
2459030.0490132,323.2449,0.2176,10.1262,0.0007,16.3086,2.12,g,G,bB
2459032.0411278,338.3033,0.1806,10.0768,0.0006,16.5109,2.07,g,G,bB
2459033.0401126,342.2134,0.1922,10.0643,0.0006,16.4431,2.17,g,G,bB
2459034.0271251,334.7742,0.2356,10.0882,0.0008,16.2222,2.03,g,G,bB
2459037.0185557,286.2891,0.3992,10.2581,0.0015,15.6496,2.01,g,G,bB
2459037.8736092,368.4795,0.3895,9.9840,0.0011,15.6763,1.50,g,B,br
2459038.8730293,380.9894,0.3450,9.9478,0.0010,15.8080,1.45,g,B,br
2459040.8628942,347.3381,0.4467,10.0482,0.0014,15.5276,1.45,g,G,br
2459041.8653723,384.5800,0.3223,9.9376,0.0009,15.8820,1.56,g,G,br
2459042.8541375,406.6283,0.2727,9.8771,0.0007,16.0632,1.49,g,G,br
2459043.8563553,376.9008,0.3547,9.9595,0.0010,15.7778,1.45,g,G,br
2459047.0019027,1.8210,0.9476,14.7111,99.9990,14.7111,1.72,g,B,bB
2459048.9914611,351.7444,0.1288,10.0345,0.0004,16.8775,1.99,g,G,bB
2459049.9893194,358.5352,0.1111,10.0137,0.0003,17.0388,2.06,g,G,bB
2459051.0132454,352.5876,0.1144,10.0319,0.0004,17.0070,2.06,g,G,bB
2459051.9987467,350.2233,0.1373,10.0392,0.0004,16.8082,2.00,g,G,bB
2459053.9708172,289.6512,0.3119,10.2454,0.0012,15.9177,2.08,g,G,bB
2459055.8211961,323.8374,0.4702,10.1242,0.0016,15.4720,1.46,g,G,br
2459055.8224063,425.1469,0.8062,9.8287,0.0021,14.8866,1.37,g,G,br
2459058.9532933,331.8534,0.1878,10.0977,0.0006,16.4683,2.12,g,G,bB
2459059.80963,399.4066,0.2823,9.8965,0.0008,16.0260,1.44,g,G,br
2459060.1200218,380.6432,0.1675,9.9488,0.0005,16.5924,2.01,g,G,bB
2459060.8092375,389.9739,0.3220,9.9225,0.0009,15.8831,1.51,g,G,br
2459061.8045509,383.6582,0.3310,9.9402,0.0009,15.8529,1.47,g,G,br
2459062.0429553,391.7280,0.2129,9.9176,0.0006,16.3323,2.12,g,G,bB
2459062.8005725,387.6365,0.3587,9.9290,0.0010,15.7657,1.51,g,B,br
2459066.7829862,338.4464,0.4902,10.0763,0.0016,15.4266,1.49,g,G,br
2459068.7824142,330.6005,0.4845,10.1018,0.0016,15.4395,1.46,g,G,br
