HJD,UT Date,Camera,Filter,FWHM,Limit,Mag,Mag Error,Flux (mJy),Flux Error
2460126.02556,2023-06-30.5273854,,,1.51,17.09,9.724,0.0,468.291,0.106
2460127.02533,2023-07-01.5270954,,,1.51,16.388,9.757,0.0,454.266,0.202
2460128.02231,2023-07-02.5239898,,,1.49,16.418,9.731,0.0,465.273,0.197
2460130.00605,2023-07-04.5075770,,,1.5,15.454,9.965,0.001,375.042,0.478
2460133.00445,2023-07-07.5057373,,,1.55,16.956,9.724,0.0,468.368,0.12
2460134.99727,2023-07-09.4984151,,,1.63,16.181,9.783,0.001,443.485,0.245
2460136.086,2023-07-10.5870432,,,1.47,16.62,9.689,0.0,483.554,0.163
2460137.98745,2023-07-12.4883464,,,1.73,16.614,9.749,0.0,457.573,0.164
2460138.8899,2023-07-13.3907209,br,g,1.43,16.497,9.853,0.0,415.762,0.183
2460139.11711,2023-07-13.6179090,,,1.67,16.04,9.790,0.001,440.419,0.279
2460139.97618,2023-07-14.4769105,,,2.3,15.924,9.841,0.001,420.182,0.31
2460141.98485,2023-07-16.4854312,,,1.71,16.832,9.733,0.0,464.196,0.134
2460142.84932,2023-07-17.3498123,br,g,1.51,15.723,9.837,0.001,421.763,0.373
2460146.97733,2023-07-21.4774822,,,1.51,17.146,9.725,0.0,467.643,0.101
2460147.96503,2023-07-22.4651114,,,1.56,16.799,9.736,0.0,462.959,0.139
2460148.96011,2023-07-23.4601138,,,1.45,17.293,9.720,0.0,469.962,0.088
2460149.8297,2023-07-24.3296319,br,g,1.43,16.015,9.904,0.001,396.513,0.285
2460149.95971,2023-07-24.4596237,,,1.48,16.306,9.778,0.001,445.395,0.218
2460150.95241,2023-07-25.4522474,,,1.5,17.345,9.725,0.0,467.742,0.084
2460152.95177,2023-07-27.4514483,,,1.6,16.463,9.759,0.0,453.358,0.189
2460153.9514,2023-07-28.4509964,,,1.55,16.935,9.727,0.0,466.916,0.122
2460154.82231,2023-07-29.3218435,br,g,1.43,15.862,9.880,0.001,405.368,0.328
2460155.94373,2023-07-30.4431611,,,1.43,16.677,9.722,0.0,468.958,0.155
2460156.80815,2023-07-31.3075090,br,g,1.53,15.654,9.874,0.001,407.918,0.397
2460157.97201,2023-08-01.4712817,,,1.47,16.087,9.713,0.001,473.064,0.267
2460159.0441,2023-08-02.5432728,,,1.43,16.181,9.672,0.001,491.135,0.245
2460160.92328,2023-08-04.4223144,,,1.5,16.238,9.755,0.001,454.858,0.232
2460161.79635,2023-08-05.2953135,br,g,1.51,15.896,9.855,0.001,414.822,0.318
2460162.04734,2023-08-05.5462849,,,1.44,16.165,9.653,0.001,499.621,0.248
2460163.03613,2023-08-06.5349886,,,1.59,16.12,9.647,0.001,502.488,0.259
2460166.76503,2023-08-10.2635981,br,g,1.64,16.47,9.857,0.0,414.34,0.188
2460167.90274,2023-08-11.4012189,br,g,1.52,15.898,9.935,0.001,385.548,0.318
2460170.89625,2023-08-14.3945038,,,1.45,16.718,9.739,0.0,461.614,0.149
2460172.07447,2023-08-15.5726270,,,1.5,15.964,9.617,0.001,516.823,0.299
2460177.88861,2023-08-21.3863407,,,1.43,16.969,9.722,0.0,468.911,0.118
2460178.89514,2023-08-22.3928042,,,1.58,16.516,9.677,0.0,488.705,0.18
2460180.8885,2023-08-24.3860145,,,1.5,16.615,9.692,0.0,482.02,0.164
2460182.01269,2023-08-25.5101263,,,1.46,16.12,9.637,0.001,507.413,0.259
2460182.93637,2023-08-26.4337479,,,1.46,16.328,9.663,0.0,495.257,0.214
2460185.07659,2023-08-28.5738212,,,1.49,16.606,9.693,0.0,481.803,0.165
2460186.90381,2023-08-30.4009164,,,1.54,16.248,9.718,0.001,470.951,0.23
2460187.96749,2023-08-31.4645288,,,2.13,16.538,9.699,0.0,479.229,0.176
2460190.71354,2023-09-03.2104086,br,g,1.49,16.091,9.884,0.001,404.217,0.266
2460191.84293,2023-09-04.3397217,,,2.25,16.232,9.787,0.001,441.862,0.233
2460193.71045,2023-09-06.2071307,br,g,1.6,16.201,9.897,0.001,399.246,0.24
2460194.95112,2023-09-07.4477262,,,1.43,16.405,9.674,0.0,490.254,0.199
2460196.70715,2023-09-09.2036621,br,g,1.45,16.331,9.839,0.001,421.224,0.213
2460196.96493,2023-09-09.4614201,,,2.09,16.421,9.675,0.0,490.017,0.196
2460197.90484,2023-09-10.4012796,,,1.47,16.441,9.675,0.0,489.863,0.193
2460199.83899,2023-09-12.3353200,,,1.55,15.949,9.826,0.001,426.16,0.303
2460200.84589,2023-09-13.3421608,,,2.12,15.687,9.901,0.001,397.916,0.386
2460201.91201,2023-09-14.4082386,,,1.5,16.121,9.642,0.001,504.783,0.258
2460202.67637,2023-09-15.1725603,br,g,1.49,16.025,9.912,0.001,393.606,0.283
2460202.88661,2023-09-15.3827967,,,1.66,16.499,9.680,0.0,487.734,0.183
2460203.67114,2023-09-16.1672811,br,g,1.43,16.23,9.899,0.001,398.353,0.234
2460204.83207,2023-09-17.3281482,,,1.44,17.126,9.710,0.0,474.464,0.103
2460205.6797,2023-09-18.1757449,br,g,1.48,15.975,9.890,0.001,401.792,0.296
2460205.94129,2023-09-18.4373196,,,1.46,16.057,9.632,0.001,509.83,0.274
2460207.76304,2023-09-20.2589879,br,g,1.53,15.918,9.789,0.001,441.177,0.312
2460208.02885,2023-09-20.5247870,,,1.53,16.092,9.651,0.001,500.645,0.266
2460209.03793,2023-09-21.5338135,,,1.58,16.481,9.694,0.0,481.524,0.186
2460209.86685,2023-09-22.3627127,,,1.58,16.649,9.694,0.0,481.281,0.159
2460211.78824,2023-09-24.2840188,,,1.45,16.563,9.755,0.0,455.15,0.172
2460212.81182,2023-09-25.3075512,,,1.45,16.899,9.724,0.0,468.265,0.126
2460213.77966,2023-09-26.2753724,,,1.47,16.435,9.759,0.0,453.511,0.194
2460214.77564,2023-09-27.2713069,,,1.57,16.248,9.777,0.001,445.729,0.23
2460215.82753,2023-09-28.3231591,,,1.56,16.58,9.745,0.0,459.275,0.169
2460222.75496,2023-10-05.2503884,,,1.5,15.755,9.850,0.001,416.766,0.362
2460224.78038,2023-10-07.2757532,,,1.51,16.553,9.751,0.0,456.858,0.174
2460228.76674,2023-10-11.2620474,,,1.99,14.276,14.276,99.99,3.125,1.415
2460230.00534,2023-10-12.5006138,,,1.45,15.769,9.581,0.001,534.327,0.358
2460230.58707,2023-10-13.0823379,br,g,1.66,15.871,9.952,0.001,379.633,0.326
