,name,ra,dec,app_mag,app_mag_flag,redshift_flag,redshift,object_type
,NGC  185,00 38 57.4,+48 20 14,14.84,V,,0.0,S2
,M 31,00 42 44.3,+41 16 10,10.57,V,,0.0,S2
,NGC 3031,09 55 33.2,+69 03 55,11.63,V,,0.0,S3b
,NGC 4736,12 50 52.7,+41 07 10,10.85,V,,0.001,S
,NGC 4826,12 56 43.9,+21 41 00,12.14,V,,0.001,S
,NGC 5253,13 39 56.0,-31 38 24,13.16,V,,0.001,H2
,NGC  253,00 47 33.2,-25 17 17,13.97,V,,0.001,S
,NGC  625,01 35 05.1,-41 26 11,14.18,V,,0.001,H2
,SDSS J14023+5420,14 02 21.0,+54 20 04,18.25,V,,0.001,S1
,NGC 5128,13 25 28.0,-43 01 00,12.76,V,,0.001,B?
,Circinus,14 13 09.8,-65 20 17,12.1,V,,0.001,S1h
,NGC 4552,12 35 40.0,+12 33 23,11.2,V,,0.001,S2
,NGC  404,01 09 27.1,+35 43 05,11.73,V,,0.001,S3
,NGC 4395,12 25 48.9,+33 32 48,10.27,V,,0.001,S1.8
,PC 1311+4635,13 13 22.8,+46 19 30,18.82,R,,0.001,H2
,NGC 5194,13 29 52.4,+47 11 41,13.47,V,,0.001,S2
,NGC 4639,12 42 52.5,+13 15 25,12.72,V,,0.001,S1.0
,NGC 4550,12 35 30.6,+12 13 15,13.54,V,,0.001,S3
,NGC 3738,11 35 47.1,+54 31 32,12.04,V,,0.001,H2
,SDSS J10390+4140,10 39 00.4,+41 40 08,17.6,V,,0.002,S1
,NGC 4548,12 35 26.5,+14 30 24,13.57,V,,0.002,S3
,NGC 4258,12 18 57.5,+47 18 14,11.65,V,,0.002,S2
,NGC 1058,02 43 29.9,+37 20 27,11.75,V,,0.002,S2
,Q 1200+4755,12 02 58.2,+47 39 11,18.99,R,,0.002,AG
,SDSS J12046+1827,12 04 36.1,+18 27 59,19.46,V,,0.002,AG
,NGC 4206,12 15 16.8,+13 01 27,12.8,V,,0.002,S
,SDSS J09328+4725,09 32 49.6,+47 25 22,18.01,V,,0.002,AG
,NGC 4051,12 03 09.6,+44 31 53,12.92,V,,0.002,S1n
,NGC 5866,15 06 29.5,+55 45 48,13.35,V,,0.002,S
,NGC 4625,12 41 52.8,+41 16 27,12.9,V,,0.002,S
,SDSS J07596+1914,07 59 39.8,+19 14 17,18.65,V,,0.002,S1
,NGC 4945,13 05 27.6,-49 28 03,14.4,V,,0.002,S
,SDSS J13289+3108,13 28 56.7,+31 08 46,17.99,V,,0.002,S1
,NGC 3627,11 20 14.9,+12 59 27,11.94,V,,0.002,S3
,SDSS J15199+0804,15 19 56.6,+08 04 22,20.92,V,,0.002,S1
,NGC 3621,11 18 16.5,-32 48 51,9.4,V,,0.002,S2
,SDSS J12439+3210,12 43 56.7,+32 10 15,16.41,V,,0.002,S1
,NGC 4278,12 20 06.9,+29 16 51,10.87,V,,0.002,S3b
,NGC 3486,11 00 23.9,+28 58 30,11.28,V,,0.002,S2
,NGC 1386,03 36 46.4,-35 59 57,12.84,V,,0.002,S1i
,NGC 4594,12 39 59.3,-11 37 23,9.25,V,,0.002,S3
,NGC 2841,09 22 02.0,+50 58 40,12.41,V,,0.002,S3
,SDSS J08132+4559,08 13 13.1,+45 59 26,19.08,V,,0.002,S1
,NGC 3353,10 45 22.4,+55 57 36,13.17,V,,0.003,H2
,NGC 4117,12 07 46.2,+43 07 36,14.3,V,,0.003,S2
,NGC 5643,14 32 40.7,-44 10 28,13.6,V,,0.003,S2
,UGC  7377,12 19 50.6,+29 36 50,10.47,V,,0.003,S3
,NGC 6300,17 16 59.2,-62 49 05,13.08,V,,0.003,S2
,NGC 4941,13 04 13.1,-05 33 06,12.23,V,,0.003,S2
,NGC 3982,11 56 28.1,+55 07 30,11.7,V,,0.003,S1.9
,NGC 1808,05 07 42.3,-37 30 46,12.55,V,,0.003,H2
,NGC 4472,12 29 46.8,+08 00 02,12.17,V,,0.003,S2
,IC 4870,19 37 38.3,-65 48 45,14.63,V,,0.003,H2
,NGC  660,01 43 02.5,+13 38 42,11.86,V,,0.003,S3
,IC 3576,12 36 37.7,+06 37 14,15.4,V,,0.003,H2
,NGC 3423,10 51 14.4,+05 50 24,11.6,V,,0.003,S
,NGC 3718,11 32 34.6,+53 04 04,10.61,V,,0.003,S3b
,NGC 4138,12 09 29.9,+43 41 06,12.24,V,,0.003,S1.9
,NGC 4636,12 42 50.0,+02 41 16,11.84,V,,0.003,S3b
,NGC 5033,13 13 27.5,+36 35 38,12.03,V,,0.003,S1.8
,NGC 4143,12 09 36.2,+42 32 03,12.08,V,,0.003,S3b
,NGC 4102,12 06 23.1,+52 42 39,12.61,V,,0.003,S3
,NGC 4698,12 48 22.9,+08 29 14,12.27,V,,0.003,S2
,Q 0956+4751,09 59 18.5,+47 36 58,18.67,R,,0.003,AG
,NGC 2681,08 53 32.6,+51 18 48,11.33,V,,0.003,S3b
,NGC 4772,12 53 29.4,+02 10 05,12.05,V,,0.003,S3b
,NGC 3169,10 14 14.8,+03 27 59,12.41,V,,0.003,S
,NGC 4151,12 10 32.5,+39 24 21,11.85,V,,0.003,S1.5
,NGC 3928,11 51 47.6,+48 40 59,13.2,V,,0.003,S
,NGC 5879,15 09 46.8,+57 00 00,12.2,V,,0.003,S3
,NGC 3941,11 52 55.4,+36 59 11,11.62,V,,0.003,S2
,NGC 2685,08 55 34.6,+58 44 04,12.7,V,,0.003,S2
,NGC 5005,13 10 56.3,+37 03 30,13.67,V,,0.003,S3b
,NGC 3607,11 16 54.8,+18 03 04,12.76,V,,0.003,S2
,NGC 2787,09 19 18.9,+69 12 12,11.79,V,,0.003,S3b
,NGC 3310,10 38 45.8,+53 30 12,12.15,V,,0.003,H2
,NGC 1068,02 42 40.7,-00 00 47,10.83,V,,0.003,S1h
,NGC 5273,13 42 08.3,+35 39 15,13.12,V,,0.003,S1.9
,NGC 4374,12 25 03.7,+12 53 13,12.31,V,,0.003,S2
,NGC 3227,10 23 30.6,+19 51 56,11.79,V,,0.003,S1.5
,NGC 3079,10 01 58.5,+55 40 50,12.18,V,,0.004,S2
,NGC 4700,12 49 07.1,-11 24 44,14.32,V,,0.004,H2
,NGC 5806,15 00 00.4,+01 53 29,12.4,V,,0.004,S2
,NGC 3177,10 16 34.1,+21 07 23,13.0,V,,0.004,S
,NGC 4486,12 30 49.5,+12 23 28,12.86,V,,0.004,S3
,SDSS J12482-0319,12 48 13.0,-03 19 59,16.27,V,,0.004,S1
,SDSS J09420+5729,09 42 02.6,+57 29 23,19.51,V,,0.004,S1
,KAZ  69,16 16 37.3,+68 12 11,15.3,V,,0.004,S3
,NGC 4438,12 27 45.6,+13 00 32,12.81,V,,0.004,S3b
,NGC 3998,11 57 56.1,+55 27 13,12.1,V,,0.004,S3b
,MCG -06.21.005,09 25 17.8,-34 05 57,17.3,R,,0.004,S
,NGC 4192,12 13 48.3,+14 54 02,13.25,V,,0.004,S3
,NGC 6221,16 52 45.7,-59 12 59,13.45,V,,0.004,S2
,NGC 1672,04 45 42.2,-59 14 51,12.23,V,,0.004,S
,SDSS J01143+0055,01 14 20.5,+00 55 02,20.12,V,,0.004,S1
,NGC 4517,12 32 45.6,+00 06 54,11.5,V,,0.004,S3
,NGC 3226,10 23 27.0,+19 53 54,13.33,V,,0.004,S3b
,NGC 4411B,12 26 47.3,+08 53 05,12.9,V,,0.004,S2
,NGC 1566,04 20 00.7,-54 56 17,13.17,V,,0.004,S1.5
,NGC 4569,12 36 49.9,+13 09 50,12.31,V,,0.004,S
,MARK 1308,11 54 12.4,+00 08 12,14.19,V,,0.004,H2
,NGC 7217,22 07 52.6,+31 21 33,11.92,V,,0.004,S3
,SDSS J12580+0134,12 58 01.2,+01 34 33,16.31,V,,0.004,S2
,NGC 1097,02 46 19.0,-30 16 28,12.78,V,,0.004,S3b
,NGC  428,01 12 55.7,+00 58 54,11.9,V,,0.004,S3
,NGC 2985,09 50 22.1,+72 16 45,10.61,V,,0.004,S1.9
,NGC 3185,10 17 38.5,+21 41 18,12.29,V,,0.004,S2
,UGC 10713,17 04 33.9,+72 26 45,14.0,V,,0.004,H2
,NGC 4725,12 50 26.6,+25 30 06,12.44,V,,0.004,S2
,NGC 4565,12 36 20.6,+25 59 11,12.43,V,,0.004,S1.9
,MCG -04.30.010,12 40 13.8,-25 19 36,13.5,V,,0.004,S3
,NGC 4203,12 15 05.0,+33 11 50,11.99,V,,0.004,S3b
,NGC 4694,12 48 15.1,+10 59 01,13.36,V,,0.004,H2
,NGC 2768,09 11 37.5,+60 02 14,11.9,V,,0.005,S
,SDSS J14418+0305,14 41 48.7,+03 05 23,19.86,V,,0.005,S1
,ESO 540-G14,00 41 11.8,-21 07 54,15.0,V,,0.005,S2
,NGC 7314,22 35 46.1,-26 03 02,13.11,V,,0.005,S1h
,NGC 4036,12 01 26.8,+61 53 45,11.2,V,,0.005,S3b
,NGC 4383,12 25 25.5,+16 28 11,12.67,V,,0.005,H2
,NGC 3504,11 03 11.2,+27 58 22,12.93,V,,0.005,H2
,SDSS J12455-0032,12 45 31.6,-00 32 23,20.05,V,,0.005,S3
,NGC 5084,13 20 16.8,-21 49 38,12.21,V,,0.005,S3
,NGC 4579,12 37 43.5,+11 49 05,11.72,V,,0.005,S3b
,NGC 3642,11 22 17.8,+59 04 28,14.04,V,,0.005,S3b
,NGC  613,01 34 18.2,-29 25 06,12.71,V,,0.005,S?
,NGC 1042,02 40 23.9,-08 26 01,11.6,V,,0.005,S
,NGC  676,01 48 57.3,+05 54 24,10.5,V,,0.005,S2
,IC 1459,22 57 10.6,-36 27 44,11.85,V,,0.005,S3
,NGC 2217,06 21 39.7,-27 14 01,11.93,V,,0.005,S3
,NGC 7590,23 18 54.8,-42 14 21,13.76,V,,0.005,S2
,NGC 2442,07 36 24.0,-69 31 48,11.2,V,,0.005,S3
,NGC 1052,02 41 04.8,-08 15 21,12.31,V,,0.005,S3b
,NGC 4750,12 50 07.3,+72 52 29,12.1,V,,0.005,S3b
,NGC 7552,23 16 10.8,-42 35 05,12.55,V,,0.005,H2
,NGC 4303,12 21 54.9,+04 28 25,12.6,V,,0.005,S2
,NGC 7582,23 18 23.5,-42 22 14,13.57,V,,0.005,S1i
,NGC 4813,12 56 36.3,-06 49 02,14.15,V,,0.005,S2
,NGC 3032,09 52 08.1,+29 14 10,13.28,V,,0.005,H2
,NGC  918,02 25 50.9,+18 29 46,15.01,V,,0.005,AG
,NGC 7496,23 09 47.3,-43 25 40,13.9,V,,0.005,S2
,NGC 3254,10 29 19.9,+29 29 30,11.6,V,,0.005,S2
,NGC 2655,08 55 38.8,+78 13 25,11.08,V,,0.005,S3
,NGC 4477,12 30 02.2,+13 38 11,12.99,V,,0.005,S2
,ESO 428-G14,07 16 31.2,-29 19 28,13.52,V,,0.005,S2
,NGC 6217,16 32 38.6,+78 11 52,13.88,V,,0.005,H2
,NGC 6814,19 42 40.7,-10 19 23,14.21,V,,0.005,S1.5
,NPM1G-10.0425,12 25 49.3,-11 03 06,16.3,V,,0.006,H2
,NGC  289,00 52 42.2,-31 12 22,13.44,V,,0.006,AG
,NGC 7410,22 55 01.0,-39 39 42,11.8,V,,0.006,S3
,ESO 325-IG41,13 59 05.7,-42 30 27,15.59,V,,0.006,H2
,NGC 5322,13 49 15.3,+60 11 26,14.54,R,,0.006,S
,ESO 005-G04,06 05 42.0,-86 37 54,13.53,V,,0.006,S2
,NGC 5087,13 20 25.0,-20 36 39,12.08,V,,0.006,S3
,NGC 6384,17 32 24.3,+07 03 37,11.1,V,,0.006,S3
,NGC 4105,12 06 40.8,-29 45 36,12.52,V,,0.006,S3
,NGC 7213,22 09 16.3,-47 10 00,12.08,V,,0.006,S3b
,ESO 108-IG17,22 10 47.4,-66 52 11,14.0,V,,0.006,H2
,NGC 1365,03 33 36.4,-36 08 24,12.95,V,,0.006,S1.8
,NGC 3259,10 32 34.9,+65 02 27,16.89,V,,0.006,S1
,NGC 2855,09 21 27.5,-11 54 33,12.23,V,,0.006,S3
,MARK  313,23 02 01.0,+15 57 53,14.0,V,,0.006,S3
,NGC 5678,14 32 05.6,+57 55 17,12.1,V,,0.006,S
,NGC 5861,15 09 16.7,-11 19 20,12.62,V,,0.006,S2
,SDSS J14461-0013,14 46 11.2,-00 13 23,15.58,V,,0.006,S2
,SDSS J01286-0040,01 28 38.5,-00 40 31,20.79,V,,0.006,S1
,SDSS J15083+0147,15 08 22.7,+01 47 55,20.01,V,,0.006,S2
,Q 1102+4641,11 05 41.7,+46 24 50,21.46,R,,0.006,AG
,NGC 2974,09 42 33.3,-03 41 54,12.3,V,,0.006,S2
,NGC 4450,12 28 29.6,+17 05 05,13.19,V,,0.006,S3b
,NGC 5377,13 56 16.7,+47 14 08,12.2,V,,0.006,S3
,UGC  6728,11 45 16.1,+79 40 54,15.88,V,,0.006,S1.2
,NGC 3962,11 54 40.1,-13 58 30,12.16,V,,0.006,S3
,NGC 6951,20 37 14.4,+66 06 20,14.04,V,,0.006,S2
,MARK  620,06 50 08.7,+60 50 45,13.54,V,,0.006,S1h
,NVSS J11501-0402,11 50 09.4,-04 02 32,15.4,R,,0.006,S
,NGC 7479,23 04 56.8,+12 19 25,13.88,V,,0.007,S1.9
,NGC 4501,12 31 59.3,+14 25 13,13.18,V,,0.007,S2
,UGC  6192,11 09 12.4,+61 23 46,15.29,V,,0.007,S2
,NGC 4235,12 17 09.9,+07 11 29,13.6,V,,0.007,S1.2
,NGC 7743,23 44 21.4,+09 56 03,13.28,V,,0.007,S2
,NGC 5953,15 34 32.3,+15 11 38,12.45,V,,0.007,S2
,XMM J00329-4309,00 32 55.3,-43 09 48,19.47,V,,0.007,S1
,NGC 1266,03 16 00.7,-02 25 38,13.93,V,,0.007,S?
,NGC 6000,15 49 49.6,-29 23 11,13.0,V,,0.007,H2
,NGC 4180,12 13 03.0,+07 02 20,13.49,V,,0.007,S2
,SDSS J14582-0106,14 58 13.1,-01 06 13,21.24,V,,0.007,S3
,NGC 7135,21 49 46.0,-34 52 35,13.3,V,,0.007,AG
,MARK  759,12 10 37.6,+16 01 58,13.35,V,,0.007,H2
,NGC 2377,07 24 56.9,-09 39 34,14.77,V,,0.007,H2
,NGC 3081,09 59 29.6,-22 49 34,13.55,V,,0.007,S1h
,SDSS J03043-0659,03 04 20.9,-06 59 46,19.93,V,,0.007,S2
,NGC 4418,12 26 54.7,-00 52 42,13.37,V,,0.007,S2
,NGC 5078,13 19 50.0,-27 24 36,11.8,V,,0.007,S3
,NGC 1161,03 01 14.2,+44 53 50,12.08,V,,0.007,S1.9
,MARK   52,12 25 42.8,+00 34 21,14.12,V,,0.007,H2
,NGC 2325,07 02 40.4,-28 41 49,11.95,R,,0.007,S?
,NGC 5631,14 26 33.2,+56 34 58,12.55,V,,0.007,S2
,NGC 5506,14 13 14.8,-03 12 26,14.38,V,,0.007,S1i
,NGC 2907,09 31 36.6,-16 44 04,12.06,V,,0.007,S3
,NGC 4261,12 19 23.2,+05 49 29,12.87,V,,0.007,S3h
,NGC 3312,10 37 02.5,-27 33 56,13.96,V,,0.007,S3
,NGC 3065,10 01 55.8,+72 10 12,13.19,V,,0.007,S3b
,NGC 5371,13 55 39.9,+40 27 43,11.93,V,,0.007,S?
,NGC 2110,05 52 11.4,-07 27 23,13.51,V,,0.007,S1h
,NGC 4897,13 00 52.9,-13 26 58,13.23,V,,0.008,S2
,NGC 5597,14 24 27.5,-16 45 45,14.18,V,,0.008,H2
,NGC 2824,09 19 02.3,+26 16 11,10.88,V,,0.008,S?
,NGC 7172,22 02 01.9,-31 52 08,13.61,V,,0.008,S2
,MCG -05.23.004,09 31 06.9,-30 21 29,14.0,V,,0.008,S3
,NGC 5929,15 26 06.1,+41 40 15,14.0,V,,0.008,S3
,Abell 1736#14,13 23 45.4,-27 39 36,17.0,V,,0.008,S2
,SDSS J09176+5259,09 17 39.9,+52 59 34,15.97,V,,0.008,S2
,NGC 4412,12 26 35.9,+03 57 54,13.16,V,,0.008,S2
,MARK  201,12 14 09.7,+54 31 35,13.3,V,,0.008,H2
,NGC 6434,17 36 48.6,+72 05 20,13.2,V,,0.008,H2
,Q 1411+4753,14 13 44.7,+47 39 51,17.97,R,,0.008,AG
,SDSS J12122+0004,12 12 14.8,+00 04 20,17.4,V,,0.008,S1
,NGC 3976,11 55 57.4,+06 44 56,12.3,V,,0.008,S2
,NGC 5985,15 39 36.8,+59 19 51,14.22,V,,0.008,S
,NGC 5077,13 19 31.6,-12 39 24,12.85,V,,0.008,S3b
,NGC 4388,12 25 46.7,+12 39 41,13.9,V,,0.008,S1h
,NGC 5353,13 53 26.7,+40 16 59,10.91,R,,0.008,S?
,NGC 4168,12 12 17.3,+13 12 18,12.13,V,,0.008,S1.9
,ESO 434-G40,09 47 40.2,-30 56 54,13.69,V,,0.008,S1i
,NGC 6764,19 08 16.4,+50 55 59,14.32,V,,0.008,H2
,NGC 5347,13 53 17.8,+33 29 27,12.7,V,,0.008,S2
,NGC 5757,14 47 46.0,-19 04 36,13.73,V,,0.008,H2
,NGC 5899,15 15 03.3,+42 02 59,13.21,V,,0.008,AG
,NGC 2782,09 14 05.3,+40 06 47,13.45,V,,0.008,S2
,NGC 3573,11 11 18.6,-36 52 32,12.87,V,,0.008,S3
,MCG -06.30.015,13 35 53.4,-34 17 48,13.61,V,,0.008,S1.5
,NGC 5244,13 38 42.0,-45 51 20,13.3,V,,0.008,H2
,F  348,20 37 00.2,-50 05 22,15.5,V,,0.008,H2
,NGC 6890,20 18 18.1,-44 48 24,14.02,V,,0.008,S1.9
,MCG -05.23.008,09 44 13.1,-28 50 56,13.1,V,,0.008,S3
,NGC 2992,09 45 42.0,-14 19 35,13.78,V,,0.008,S1.9
,NGC 4593,12 39 39.4,-05 20 39,13.15,V,,0.009,S1.0
,NGC 6949,20 35 07.1,+64 48 09,14.5,V,,0.009,H2
,MCG -06.28.025,12 56 28.2,-36 22 14,13.6,V,,0.009,S3
,PKS 0958-314,10 00 40.9,-31 39 51,12.0,V,,0.009,S3
,ESO 509-IG64,13 34 36.5,-23 40 46,14.7,V,,0.009,H2
,NGC 4968,13 07 05.4,-23 40 37,14.79,V,,0.009,S2
,NGC 3783,11 39 01.8,-37 44 19,13.43,V,,0.009,S1.5
,ESO 234-G50,20 35 50.1,-50 11 50,12.5,V,,0.009,H2
,NGC 7378,22 47 47.7,-11 49 00,13.0,V,,0.009,S2
,IC 2560,10 16 19.3,-33 33 59,13.31,V,,0.009,S2
,ESO 138-G01,16 51 20.5,-59 14 11,13.63,V,,0.009,S2
,NGC 3735,11 35 57.5,+70 32 07,12.5,V,,0.009,S2
,ESO 373-G29,09 47 43.4,-32 50 11,14.0,V,,0.009,S2
,ESO 137-G34,16 35 14.2,-58 04 41,12.2,V,,0.009,S2
,ESO 373-G13,09 38 20.5,-33 51 45,13.9,R,,0.009,S
,NGC 3516,11 06 47.4,+72 34 07,12.4,V,,0.009,S1.5
,NGC 7714,23 36 14.1,+02 09 18,14.36,V,,0.009,H2
,PADOVA 1,18 51 59.5,+11 52 33,15.0,V,,0.009,S1
,MARK  607,03 24 48.7,-03 02 32,14.0,V,,0.009,S2
,NGC 4378,12 25 17.9,+04 55 30,13.49,V,,0.009,S2
,SDSS J13453+4142,13 45 19.2,+41 42 45,16.5,V,,0.009,S1.9
,MCG -02.25.025,10 36 58.1,-28 10 34,13.5,V,,0.009,S3
,NGC 5427,14 03 25.9,-06 01 50,13.96,V,,0.009,S2
,NGC 5728,14 42 23.9,-17 15 11,13.4,V,,0.009,S1.9
,MARK  270,13 41 05.8,+67 40 20,14.05,V,,0.009,S2
,MARK  745,11 39 56.3,+16 57 17,14.62,V,,0.01,H2
,MARK  744,11 39 42.6,+31 54 34,13.74,V,,0.01,S1.8
,NGC 6500,17 55 59.8,+18 20 19,12.54,V,,0.01,S3
,NGC 3994,11 57 36.7,+32 16 41,12.87,V,,0.01,S3
,IC 4197,13 08 04.3,-23 47 48,13.9,V,,0.01,S3
,MARK   25,10 03 51.9,+59 26 11,14.42,V,,0.01,H2
,ESO 508-G05,13 06 56.7,-23 55 00,13.6,V,,0.01,S2
,NGC 4990,13 09 17.3,-05 16 22,13.82,V,,0.01,H2
,WEE  64,12 36 45.3,+26 18 06,21.0,V,E,0.01,AG
,NGC 3390,10 48 04.4,-31 32 00,13.41,V,,0.01,S3
,F  280,09 13 30.5,-60 47 21,13.6,V,,0.01,H2
,NGC 3147,10 16 53.2,+73 24 02,12.65,V,,0.01,S2
,ESO 443-G17,12 57 44.9,-29 45 59,13.73,V,,0.01,H2
,MARK  171,11 28 31.6,+58 33 44,12.86,V,,0.01,H2
,NGC 4939,13 04 14.3,-10 20 23,13.8,V,,0.01,S2
,MARK 1126,23 00 47.8,-12 55 08,14.33,V,,0.01,S1.5
,NGC 4696,12 48 49.3,-41 18 40,11.4,V,,0.01,S3
,ESO 377-G24,11 12 32.4,-36 25 35,13.11,V,,0.01,S1
,IC 3370,12 27 37.3,-39 20 16,12.12,V,,0.01,S3
,NGC 4628,12 42 25.3,-06 58 16,14.5,V,,0.01,S2
,KUG 0239+013,02 42 14.3,+01 34 37,16.0,V,,0.01,AG
,IC 5169,22 10 10.0,-36 05 19,14.27,V,,0.01,S2
,ESO 108-G10,22 04 29.8,-66 06 51,15.8,V,,0.01,H2
,NGC 2911,09 33 46.1,+10 09 09,13.83,V,,0.01,S3
,NGC 3367,10 46 34.9,+13 45 02,14.14,V,,0.01,S
,MARK 1092,05 04 19.6,-10 04 35,14.5,V,,0.01,S3
,H 1934-063,19 37 33.1,-06 13 05,15.35,V,,0.01,S1.5
,SDSS J13321+6242,13 32 06.9,+62 42 02,16.14,V,,0.01,S1
,SDSS J15359+5641,15 35 58.9,+56 41 08,20.35,V,,0.011,S1
,Q 0258+0222,03 00 59.3,+02 33 57,17.45,R,,0.011,AG
,NGC 1125,02 51 40.3,-16 39 04,13.13,V,,0.011,S2
,NGC 5905,15 15 23.2,+55 31 05,12.5,V,,0.011,H2
,NGC 7377,22 47 47.5,-22 18 43,12.78,V,,0.011,S3
,NGC 5793,14 59 27.5,-16 41 51,13.32,V,,0.011,S2
,MCG -04.30.029,12 51 31.8,-26 27 07,13.0,V,,0.011,S3
,NGC 2639,08 43 38.0,+50 12 21,11.88,V,,0.011,S3
,ESO 512-G20,14 44 57.0,-23 47 40,14.5,V,,0.011,S1
,NGC 3894,11 48 50.4,+59 24 57,14.15,R,,0.011,S
,SDSS J10510+6546,10 51 03.0,+65 46 53,16.11,V,,0.011,S1
,PKS 2048-57,20 52 02.2,-57 04 07,13.6,V,,0.011,S1h
,NGC 3281,10 31 52.1,-34 51 13,14.02,V,,0.011,S2
,NGC 4936,13 04 16.9,-30 31 34,12.23,V,,0.011,S3
,NGC  424,01 11 27.7,-38 05 01,14.12,V,,0.011,S1h
,NGC 3660,11 23 32.2,-08 39 30,14.45,V,,0.011,S1.8
,Q 1441+4635,14 43 26.7,+46 22 55,17.5,R,,0.011,AG
,IGR J16024-6107,16 01 48.2,-61 08 55,,V,,0.011,S2
,F  182,18 43 26.4,-64 06 14,14.59,V,,0.011,H2
,IC 3639,12 40 52.9,-36 45 21,13.5,V,,0.011,S1h
,LEDA  86269,04 44 09.0,+28 13 00,,V,,0.011,S2
,NGC 4785,12 53 26.8,-48 45 03,12.09,V,,0.012,S2
,IC 1657,01 14 07.0,-32 39 02,13.12,V,,0.012,S2
,NGC 5211,13 33 05.3,-01 02 09,13.1,V,,0.012,S3
,NGC 3171,10 15 36.8,-20 38 50,13.9,V,,0.012,S3
,IC 2202,07 27 54.0,-67 34 27,13.6,V,,0.012,S2
,NGC 4507,12 35 36.5,-39 54 33,13.54,V,,0.012,S1h
,MCG +01.27.020,10 36 35.8,+05 54 38,14.7,V,,0.012,S2
,NGC 7678,23 28 27.8,+22 25 17,15.3,V,,0.012,H2
,Q 0130+0215,01 32 51.5,+02 30 38,18.03,R,,0.012,AG
,NGC  454E,01 14 23.1,-55 23 51,13.58,V,,0.012,S2
,NGC 3798,11 40 13.9,+24 41 49,13.1,V,,0.012,S1
